State_Name,state_code,survey_year,ITEM_NAME,item,AMOUNT
New York,33,2016,License taxes,TA3,"1,794,987"
New York,33,2016,Income taxes,TA4,"50,690,443"
New York,33,2016,Other taxes,TA5,"4,078,516"
North Carolina,34,2016,Total Taxes,T00,"26,201,576"
North Carolina,34,2016,Property taxes,T01,X
North Carolina,34,2016,Sales and gross receipts taxes,TA1,"11,149,110"
North Carolina,34,2016,License taxes,TA3,"1,869,060"
North Carolina,34,2016,Income taxes,TA4,"13,109,468"
North Carolina,34,2016,Other taxes,TA5,"73,938"
North Dakota,35,2016,Total Taxes,T00,"3,709,105"
North Dakota,35,2016,Property taxes,T01,"3,910"
North Dakota,35,2016,Sales and gross receipts taxes,TA1,"1,496,824"
North Dakota,35,2016,License taxes,TA3,"204,055"
North Dakota,35,2016,Income taxes,TA4,"454,194"
North Dakota,35,2016,Other taxes,TA5,"1,550,122"
Ohio,36,2016,Total Taxes,T00,"28,694,883"
Ohio,36,2016,Property taxes,T01,X
Ohio,36,2016,Sales and gross receipts taxes,TA1,"18,231,167"
Ohio,36,2016,License taxes,TA3,"2,223,747"
Ohio,36,2016,Income taxes,TA4,"8,202,432"
Ohio,36,2016,Other taxes,TA5,"37,537"
Oklahoma,37,2016,Total Taxes,T00,"8,491,187"
Oklahoma,37,2016,Property taxes,T01,X
Oklahoma,37,2016,Sales and gross receipts taxes,TA1,"3,778,399"
Oklahoma,37,2016,License taxes,TA3,"1,039,167"
Oklahoma,37,2016,Income taxes,TA4,"3,324,653"
Oklahoma,37,2016,Other taxes,TA5,"348,968"
Oregon,38,2016,Total Taxes,T00,"11,043,311"
Oregon,38,2016,Property taxes,T01,"20,587"
Oregon,38,2016,Sales and gross receipts taxes,TA1,"1,532,190"
Oregon,38,2016,License taxes,TA3,"1,048,709"
Oregon,38,2016,Income taxes,TA4,"8,299,887"
Oregon,38,2016,Other taxes,TA5,"141,938"
Pennsylvania,39,2016,Total Taxes,T00,"37,394,589"
Pennsylvania,39,2016,Property taxes,T01,"43,124"
Pennsylvania,39,2016,Sales and gross receipts taxes,TA1,"19,284,374"
Pennsylvania,39,2016,License taxes,TA3,"2,159,170"
Pennsylvania,39,2016,Income taxes,TA4,"14,388,463"
Pennsylvania,39,2016,Other taxes,TA5,"1,519,458"
Rhode Island,40,2016,Total Taxes,T00,"3,265,727"
Rhode Island,40,2016,Property taxes,T01,"2,544"
Rhode Island,40,2016,Sales and gross receipts taxes,TA1,"1,665,438"
Rhode Island,40,2016,License taxes,TA3,"120,936"
Rhode Island,40,2016,Income taxes,TA4,"1,380,463"
Rhode Island,40,2016,Other taxes,TA5,"96,346"
South Carolina,41,2016,Total Taxes,T00,"9,551,052"
South Carolina,41,2016,Property taxes,T01,"32,670"
South Carolina,41,2016,Sales and gross receipts taxes,TA1,"4,620,807"
South Carolina,41,2016,License taxes,TA3,"499,053"
South Carolina,41,2016,Income taxes,TA4,"4,309,831"
South Carolina,41,2016,Other taxes,TA5,"88,691"
South Dakota,42,2016,Total Taxes,T00,"1,747,550"
South Dakota,42,2016,Property taxes,T01,X
South Dakota,42,2016,Sales and gross receipts taxes,TA1,"1,440,041"
South Dakota,42,2016,License taxes,TA3,"268,227"
South Dakota,42,2016,Income taxes,TA4,"32,684"
South Dakota,42,2016,Other taxes,TA5,"6,598"
Tennessee,43,2016,Total Taxes,T00,"13,386,169"
Tennessee,43,2016,Property taxes,T01,X
Tennessee,43,2016,Sales and gross receipts taxes,TA1,"9,704,247"
Tennessee,43,2016,License taxes,TA3,"1,516,966"
Tennessee,43,2016,Income taxes,TA4,"1,862,601"
Tennessee,43,2016,Other taxes,TA5,"302,355"
Texas,44,2016,Total Taxes,T00,"52,132,817"
Texas,44,2016,Property taxes,T01,X
Texas,44,2016,Sales and gross receipts taxes,TA1,"46,370,774"
Texas,44,2016,License taxes,TA3,"3,414,335"
Texas,44,2016,Income taxes,TA4,X
Texas,44,2016,Other taxes,TA5,"2,347,708"
Utah,45,2016,Total Taxes,T00,"7,082,961"
Utah,45,2016,Property taxes,T01,X
Utah,45,2016,Sales and gross receipts taxes,TA1,"3,031,819"
Utah,45,2016,License taxes,TA3,"290,426"
